Name,RouteName,PassengerCount
中井駅,西武鉄道新宿線,27736
南千住駅,東京メトロ日比谷線,27571
築地市場駅,都営地下鉄大江戸線,27365
西巣鴨駅,都営地下鉄三田線,27322
天王洲アイル駅,東京モノレール,27259
東長崎駅,西武鉄道池袋線,26981
中板橋駅,東武鉄道東上線,26961
東中野駅,都営地下鉄大江戸線,26719
西大島駅,都営地下鉄新宿線,26632
北綾瀬駅,東京メトロ千代田線,26588
東大前駅,東京メトロ南北線,26539
根津駅,東京メトロ千代田線,26527
亀戸駅,東武鉄道亀戸線,26286
千駄木駅,東京メトロ千代田線,26050
練馬高野台駅,西武鉄道池袋線,25919
葛西臨海公園駅,ＪＲ京葉線,25798
豪徳寺駅,小田急電鉄小田原線,25796
白金高輪駅,都営地下鉄三田線,25717
富士見台駅,西武鉄道池袋線,25375
六町駅,つくばエクスプレス,25300
武蔵新田駅,東京急行電鉄多摩川線,25229
新江古田駅,都営地下鉄大江戸線,24962
御嶽山駅,東京急行電鉄池上線,24869
馬込駅,都営地下鉄浅草線,24750
京成関屋駅,京成電鉄本線,24708
曳舟駅,東武鉄道伊勢崎線,24668
曳舟駅,東武鉄道亀戸線,24668
代々木公園駅,東京メトロ千代田線,24512
落合南長崎駅,都営地下鉄大江戸線,24329
宝町駅,都営地下鉄浅草線,24313
京成金町駅,京成電鉄金町線,24275
落合駅,東京メトロ東西線,24261
西台駅,都営地下鉄三田線,24100
南阿佐ケ谷駅,東京メトロ丸ノ内線,24000
雪が谷大塚駅,東京急行電鉄池上線,23969
台場駅,ゆりかもめ東京臨海新交通臨海線,23809
矢口渡駅,東京急行電鉄多摩川線,23683
下井草駅,西武鉄道新宿線,23679
糀谷駅,京浜急行空港線,23512
西日暮里駅,日暮里・舎人ライナー,23452
新大塚駅,東京メトロ丸ノ内線,23420
中井駅,都営地下鉄大江戸線,23407
菊川駅,都営地下鉄新宿線,23357
下高井戸駅,東京急行電鉄世田谷線,22937
野方駅,西武鉄道新宿線,22929
牛田駅,東武鉄道伊勢崎線,22723
潮見駅,ＪＲ京葉線,22718
上野広小路駅,東京メトロ銀座線,22520
本蓮沼駅,都営地下鉄三田線,22179
新井薬師前駅,西武鉄道新宿線,22072
上野毛駅,東京急行電鉄大井町線,22062
末広町駅,東京メトロ銀座線,21910
中延駅,東京急行電鉄大井町線,21903
浜町駅,都営地下鉄新宿線,21381
多摩川駅,東京急行電鉄東横線,21338
多摩川駅,東京急行電鉄目黒線,21338
多摩川駅,東京急行電鉄多摩川線,21338
本駒込駅,東京メトロ南北線,21096
三河島駅,ＪＲ常磐線,20484
練馬春日町駅,都営地下鉄大江戸線,20478
堀切菖蒲園駅,京成電鉄本線,20311
北参道駅,東京メトロ副都心線,20245
上井草駅,西武鉄道新宿線,20141
代田橋駅,京王電鉄京王線,20138
戸越駅,都営地下鉄浅草線,20036
国際展示場正門駅,ゆりかもめ東京臨海新交通臨海線,19958
代々木八幡駅,小田急電鉄小田原線,19810
沼袋駅,西武鉄道新宿線,19724
牛込柳町駅,都営地下鉄大江戸線,19686
井荻駅,西武鉄道新宿線,19615
町屋駅,京成電鉄本線,19609
天空橋駅,京浜急行空港線,19474
戸越銀座駅,東京急行電鉄池上線,19356
本郷三丁目駅,都営地下鉄大江戸線,19282
中野新橋駅,東京メトロ丸ノ内線,19020
浅草駅,つくばエクスプレス,19000
西新井駅,東武鉄道大師線,18911
鵜の木駅,東京急行電鉄多摩川線,18830
大森町駅,京浜急行本線,18827
椎名町駅,西武鉄道池袋線,18714
東松原駅,京王電鉄井の頭線,18504
中野富士見町駅,東京メトロ丸ノ内線,18167
京成曳舟駅,京成電鉄押上線,18111
洗足池駅,東京急行電鉄池上線,17965
蓮根駅,都営地下鉄三田線,17963
西永福駅,京王電鉄井の頭線,17953
東向島駅,東武鉄道伊勢崎線,17726
本所吾妻橋駅,都営地下鉄浅草線,17706
都立家政駅,西武鉄道新宿線,17509
流通センター駅,東京モノレール,17490
立会川駅,京浜急行本線,17085
京成小岩駅,京成電鉄本線,16983
下赤塚駅,東武鉄道東上線,16822
三田駅,都営地下鉄三田線,16775
白金台駅,東京メトロ南北線,16730
雑司が谷駅,東京メトロ副都心線,16688
荏原町駅,東京急行電鉄大井町線,16570
お台場海浜公園駅,ゆりかもめ東京臨海新交通臨海線,16515
尾久駅,ＪＲ東北本線,16056
下板橋駅,東武鉄道東上線,15354
参宮橋駅,小田急電鉄小田原線,15347
稲荷町駅,東京メトロ銀座線,15257
千鳥町駅,東京急行電鉄池上線,15021
長原駅,東京急行電鉄池上線,14949
久が原駅,東京急行電鉄池上線,14910
穴守稲荷駅,京浜急行空港線,14669
石川台駅,東京急行電鉄池上線,14662
梅屋敷駅,京浜急行本線,14659
新馬場駅,京浜急行本線,14618
洗足駅,東京急行電鉄目黒線,14499
六郷土手駅,京浜急行本線,14332
上中里駅,ＪＲ東北本線,14188
芦花公園駅,京王電鉄京王線,14186
テレコムセンター駅,ゆりかもめ東京臨海新交通臨海線,14138
牛込神楽坂駅,都営地下鉄大江戸線,14126
上北沢駅,京王電鉄京王線,14116
戸越公園駅,東京急行電鉄大井町線,14102
四ツ木駅,京成電鉄押上線,14096
高輪台駅,都営地下鉄浅草線,14090
富士見ケ丘駅,京王電鉄井の頭線,13975
大森海岸駅,京浜急行本線,13896
桜台駅,西武鉄道池袋線,13756
桜田門駅,東京メトロ有楽町線,13742
奥沢駅,東京急行電鉄目黒線,13636
豊島園駅,西武鉄道豊島線,13570
大師前駅,東武鉄道大師線,13516
千住大橋駅,京成電鉄本線,12949
東雲駅,東京臨海高速鉄道臨海副都心線,12900
九品仏駅,東京急行電鉄大井町線,12877
荏原中延駅,東京急行電鉄池上線,12757
鐘ケ淵駅,東武鉄道伊勢崎線,12553
西高島平駅,都営地下鉄三田線,12250
青井駅,つくばエクスプレス,12100
下落合駅,西武鉄道新宿線,11404
松陰神社前駅,東京急行電鉄世田谷線,11138
豊島園駅,都営地下鉄大江戸線,11131
世田谷駅,東京急行電鉄世田谷線,11127
上町駅,東京急行電鉄世田谷線,11019
志茂駅,東京メトロ南北線,10966
神泉駅,京王電鉄井の頭線,10761
見沼代親水公園駅,日暮里・舎人ライナー,10722
沼部駅,東京急行電鉄多摩川線,10557
八広駅,京成電鉄押上線,10418
白金台駅,都営地下鉄三田線,10415
小村井駅,東武鉄道亀戸線,10407
天空橋駅,東京モノレール,10135
池ノ上駅,京王電鉄井の頭線,9864
西新井大師西駅,日暮里・舎人ライナー,9640
新高島平駅,都営地下鉄三田線,9612
鮫洲駅,京浜急行本線,9525
国立競技場駅,都営地下鉄大江戸線,9513
南千住駅,つくばエクスプレス,9300
新代田駅,京王電鉄井の頭線,9255
緑が丘駅,東京急行電鉄大井町線,9212
越中島駅,ＪＲ京葉線,9138
北池袋駅,東武鉄道東上線,8921
柴又駅,京成電鉄金町線,8870
大井競馬場前駅,東京モノレール,8840
山下駅,東京急行電鉄世田谷線,8742
北品川駅,京浜急行本線,8520
江北駅,日暮里・舎人ライナー,8417
汐留駅,ゆりかもめ東京臨海新交通臨海線,8273
谷在家駅,日暮里・舎人ライナー,8056
新桜台駅,西武鉄道西武有楽町線,8033
世田谷代田駅,小田急電鉄小田原線,7934
熊野前駅,日暮里・舎人ライナー,7870
西ケ原駅,東京メトロ南北線,7747
大崎広小路駅,東京急行電鉄池上線,7733
蓮沼駅,東京急行電鉄池上線,7715
扇大橋駅,日暮里・舎人ライナー,7581
下神明駅,東京急行電鉄大井町線,7434
東あずま駅,東武鉄道亀戸線,7180
北千束駅,東京急行電鉄大井町線,6821
舎人駅,日暮里・舎人ライナー,6602
東北沢駅,小田急電鉄小田原線,6422
小菅駅,東武鉄道伊勢崎線,5604
昭和島駅,東京モノレール,5511
青海駅,ゆりかもめ東京臨海新交通臨海線,5348
新三河島駅,京成電鉄本線,5312
有明駅,ゆりかもめ東京臨海新交通臨海線,5226
江戸川駅,京成電鉄本線,5203
若林駅,東京急行電鉄世田谷線,5123
宮の坂駅,東京急行電鉄世田谷線,4977
松原駅,東京急行電鉄世田谷線,4848
芝浦ふ頭駅,ゆりかもめ東京臨海新交通臨海線,4769
竹芝駅,ゆりかもめ東京臨海新交通臨海線,4752
高野駅,日暮里・舎人ライナー,4704
赤土小学校前駅,日暮里・舎人ライナー,4332
堀切駅,東武鉄道伊勢崎線,3991
新柴又駅,北総開発鉄道北総・公団線,3941
新整備場駅,東京モノレール,3927
舎人公園駅,日暮里・舎人ライナー,3890
亀戸水神駅,東武鉄道亀戸線,3827
南新宿駅,小田急電鉄小田原線,3788
船の科学館駅,ゆりかもめ東京臨海新交通臨海線,3782
足立小台駅,日暮里・舎人ライナー,3273
日の出駅,ゆりかもめ東京臨海新交通臨海線,2181
整備場駅,東京モノレール,2120
西太子堂駅,東京急行電鉄世田谷線,1196
